timestamp,temp,humid
1440281885.938, 82.6, 54.7
1440281941.936, 82.6, 54.7
1440282012.577, 82.6, 54.8
1440282069.677, 82.6, 54.8
1440282122.677, 82.6, 54.8
1440282189.771, 82.6, 54.9
1440282242.785, 82.6, 55.1
1440282306.337, 82.4, 55.0
1440282362.335, 82.6, 55.0
1440282429.441, 82.6, 55.0
1440282485.989, 82.6, 55.0
1440285502.027, 82.2, 55.5
1440285521.640, 82.4, 56.0
1440285666.199, 82.6, 56.0
1440285845.757, 82.4, 56.1
1440286022.755, 82.6, 56.0
1440286216.935, 82.6, 54.8
1440286417.410, 82.8, 53.7
1440286562.425, 82.8, 53.7
1440286760.162, 82.8, 52.3
1440286929.261, 82.9, 51.9
1440287137.738, 83.1, 52.4
1440287293.401, 83.5, 52.3
1440287476.591, 83.7, 52.1
1440287642.595, 83.7, 52.2
1440287822.587, 83.5, 52.0
1440288002.583, 83.5, 51.1
1440288196.781, 83.5, 50.6
1440288369.869, 83.3, 51.3
1440288545.427, 83.5, 52.0
1440288725.974, 83.5, 53.2
1440288901.980, 82.4, 53.7
1440289082.123, 81.7, 55.7
1440289262.122, 81.1, 57.0
1440289445.672, 80.6, 57.8
1440289636.124, 80.8, 58.3
1440289802.112, 80.6, 58.4
1440290189.767, 81.0, 53.6
1440290392.411, 80.2, 52.6
1440290533.038, 79.7, 52.3
1440290709.138, 79.2, 52.1
1440290892.995, 78.3, 51.9
1440291072.617, 77.9, 52.0
1440291253.238, 78.3, 52.9
1440291432.867, 78.4, 52.9
1440291612.495, 78.4, 52.3
1440291793.108, 78.1, 52.1
1440291962.089, 78.3, 53.6
1440292142.069, 78.4, 53.6
1440292339.785, 78.6, 54.6
1440292520.491, 78.8, 53.2
1440292682.593, 79.0, 50.5
1440292862.571, 78.4, 52.6
1440293621.227, 79.0, 54.1
1440293765.764, 79.2, 53.5
1440293956.938, 79.3, 53.4
1440294129.022, 79.3, 52.6
1440294316.201, 79.5, 49.8
1440294482.181, 79.5, 50.2
1440294704.738, 79.3, 51.7
1440294895.932, 79.3, 51.9
1440295025.460, 79.2, 52.4
1440295220.175, 79.2, 52.2
1440295403.435, 79.2, 52.6
1440295587.246, 79.2, 52.4
1440295745.775, 79.2, 52.6
1440295933.395, 79.2, 52.6
1440296105.923, 79.2, 52.7
1440296296.212, 79.2, 52.6
1440296462.189, 79.2, 52.7
1440296649.266, 79.2, 53.0
1440296843.534, 79.2, 53.0
1440297006.062, 79.2, 52.8
1440297189.147, 79.2, 52.6
1440297365.674, 79.2, 52.8
1440297542.653, 79.2, 52.9
1440297729.731, 79.2, 52.6
1440297906.247, 79.2, 52.4
1440298082.231, 79.2, 52.4
1440298269.306, 79.2, 52.6
1440298456.467, 79.2, 52.7
1440298622.452, 79.2, 52.6
1440298805.982, 79.2, 52.9
1440298985.522, 79.2, 52.9
1440299162.489, 79.2, 52.9
1440299346.021, 79.2, 53.5
1440299525.553, 79.2, 53.5
1440299702.534, 79.2, 53.4
1440299886.177, 79.0, 53.7
1440300094.084, 79.2, 52.4
1440300242.070, 79.2, 52.2
1440300443.338, 79.2, 52.2
1440300602.315, 79.2, 51.9
1440300785.838, 79.3, 52.3
1440300962.817, 79.3, 52.3
1440301142.797, 79.3, 51.9
1440301333.423, 79.2, 51.9
1440301502.411, 79.2, 52.0
1440301682.399, 79.2, 52.1
1440301890.745, 79.2, 51.9
1440302046.283, 79.2, 52.0
1440302254.383, 79.2, 51.9
1440302413.174, 79.2, 51.9
1440302582.160, 79.2, 52.1
1440302783.424, 79.2, 52.0
1440302942.408, 79.2, 51.9
1440303147.211, 79.2, 51.8
1440303330.569, 79.2, 51.9
1440303482.670, 79.2, 51.8
1440303676.846, 79.2, 51.9
1440303853.463, 79.2, 51.9
1440304025.999, 79.2, 52.0
1440304205.523, 79.2, 51.9
1440304382.507, 79.2, 52.0
1440304562.483, 79.2, 52.0
1440304742.470, 79.2, 51.9
1440304922.458, 79.2, 51.9
1440305106.002, 79.2, 51.9
1440305281.988, 79.2, 51.8
1440305483.246, 79.2, 51.6
1440305642.238, 79.2, 51.7
1440305822.223, 79.2, 51.7
1440306002.197, 79.2, 51.8
1440306182.185, 79.2, 52.0
